,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
37,7 Canis Majoris b,65,1.85 Jupiters,3.92,2011,Gas Giant,1.2 x Jupiter,1.758 AU,2 years,0.06,70 Vir,Radial Velocity,,,13h28m25.81s,+13d46m43.6s,5495,1.09,1.89
38,7 Canis Majoris c,65,0.87 Jupiters,3.92,2019,Gas Giant,1.24 x Jupiter,2.153 AU,2.7 years,0.08,75 Cet,Radial Velocity,,,02h32m09.42s,-01d02m05.6s,4846,2.49,10.5
39,81 Ceti b,331,5.3 Jupiters,5.65,2008,Gas Giant,1.14 x Jupiter,2.5 AU,2.6 years,0.21,8 UMi,Radial Velocity,,,14h56m48.35s,+74d54m03.3s,4847,1.44,10.3
40,8 Ursae Minoris b,533,1.31 Jupiters,6.83,2015,Gas Giant,1.22 x Jupiter,0.49 AU,93.4 days,0.06,81 Cet,Radial Velocity,,,02h37m41.80s,-03d23m46.2s,4785,2.4,11
41,91 Aquarii b,144,3.2 Jupiters,4.25,2013,Gas Giant,1.17 x Jupiter,0.7 AU,181.4 days,0.03,91 Aqr,Radial Velocity,,,23h15m53.50s,-09d05m15.9s,4665,1.4,11
42,AB Pictoris b,163,13.5 Jupiters,9.128,2005,Gas Giant,1.1 x Jupiter,260.0 AU,4421.7 years,0,AB Pic,Imaging,,,06h19m12.91s,-58d03m15.5s,,,
43,Alpha Arietis b,66,1.8 Jupiters,2,2010,Gas Giant,1.2 x Jupiter,1.2 AU,380.8 days,0.25,alf Ari,Radial Velocity,,,02h07m10.41s,+23d27m44.7s,4553,1.5,13.9
44,Alpha Tauri b,67,6.47 Jupiters,0.85,2015,Gas Giant,1.13 x Jupiter,1.46 AU,1.7 years,0.1,alf Tau,Radial Velocity,,,04h35m55.24s,+16d30m33.5s,4055,1.13,45.1
45,AU Microscopii b,32,0.18 Jupiters,8.81,2020,Gas Giant,0.375 x Jupiter,0.066 AU,8.5 days,0.1,AU Mic,Transit,,4.4,20h45m09.53s,-31d20m27.2s,3700,0.5,0.75
46,BD+03 2562 b,8540,6.4 Jupiters,9.58,2017,Gas Giant,1.13 x Jupiter,1.3 AU,481.9 days,0.2,BD+03 2562,Radial Velocity,,,11h50m15.55s,+02d45m36.5s,4095,1.14,32.35
47,BD-06 1339 b,66,8.5 Earths,9.7,2013,Neptune-like,0.254 x Jupiter,0.0428 AU,3.9 days,0,BD+14 4559,Radial Velocity,,,21h13m35.99s,+14d41m21.8s,4864,0.49,0.86
48,BD-06 1339 c,66,0.17 Jupiters,9.7,2013,Gas Giant,0.747 x Jupiter,0.435 AU,125.9 days,0.31,BD+15 2375,Radial Velocity,,,11h45m55.72s,+14d36m59.0s,4649,1.08,8.95
49,BD-08 2823 b,135,12.7132 Earths,9.88,2009,Neptune-like,0.322 x Jupiter,0.06 AU,5.6 days,0.15,BD+15 2940,Radial Velocity,,,16h00m22.94s,+15d32m48.9s,4796,1.1,14.7
50,BD-08 2823 c,135,0.33 Jupiters,9.88,2009,Gas Giant,1.11 x Jupiter,0.68 AU,237.6 days,0.19,BD+20 2457,Radial Velocity,,,10h16m44.86s,+19d53m29.1s,4259,10.83,71.02
51,BD-10 3166 b,276,0.59 Jupiters,10.08,2000,Gas Giant,1.26 x Jupiter,0.04 AU,3.5 days,0.02,BD+20 2457,Radial Velocity,,,10h16m44.86s,+19d53m29.1s,4259,10.83,71.02
52,BD-11 4672 b,89,0.65 Jupiters,9.99,2014,Gas Giant,1.25 x Jupiter,2.36 AU,4.5 years,0.05,BD+20 274,Radial Velocity,,,01h43m40.88s,+21d00m19.1s,4296,0.8,17.3
53,BD-11 4672 c,89,15.37 Earths,9.99,2020,Neptune-like,0.36 x Jupiter,0.3 AU,74.2 days,0.4,BD+20 594,Transit,89.55,,03h34m36.23s,+20d35m57.2s,5766,1.67,1.08
54,BD-13 2130 b,3095,9.78 Jupiters,9.45,2007,Gas Giant,1.11 x Jupiter,1.66 AU,2 years,0.21,BD+48 738,Radial Velocity,,,02h42m50.45s,+49d35m13.1s,4414,0.74,11
55,BD+14 4559 b,161,1.04 Jupiters,9.63,2009,Gas Giant,1.23 x Jupiter,0.78 AU,268.9 days,0.29,BD+48 740,Radial Velocity,,,02h42m58.22s,+48d55m48.2s,4534,1.09,10.33
56,BD+15 2375 b,2525,1.061 Jupiters,10.31,2016,Gas Giant,1.23 x Jupiter,0.576 AU,153.2 days,0,BD+49 828,Radial Velocity,,,03h02m33.73s,+49d43m48.0s,4943,1.52,7.6
57,BD+15 2940 b,1408,1.11 Jupiters,9.046,2013,Gas Giant,1.23 x Jupiter,0.539 AU,137.5 days,0.26,BD-06 1339,Radial Velocity,,,05h53m00.28s,-05d59m41.4s,4324,0.7,
58,BD-17 63 b,113,5.1 Jupiters,9.566,2008,Gas Giant,1.15 x Jupiter,1.34 AU,1.8 years,0.54,BD-06 1339,Radial Velocity,,,05h53m00.28s,-05d59m41.4s,4324,0.7,
59,BD+20 2457 b,5450,55.59 Jupiters,9.75,2009,Gas Giant,1.03 x Jupiter,1.05 AU,379.6 days,0.15,BD-08 2823,Radial Velocity,,,10h00m47.72s,-09d31m00.0s,4816,0.5,0.71
60,BD+20 2457 c,5450,12.47 Jupiters,9.75,2009,Gas Giant,1.1 x Jupiter,2.01 AU,1.7 years,0.18,BD-08 2823,Radial Velocity,,,10h00m47.72s,-09d31m00.0s,4816,0.5,0.71
61,BD+20 274 b,4514,4.2 Jupiters,9.36,2012,Gas Giant,1.16 x Jupiter,1.3 AU,1.6 years,0.21,BD-10 3166,Radial Velocity,,,10h58m28.80s,-10d46m13.4s,5393,1.47,0.91
62,BD+20 594 b,588,22.2481 Earths,11.038,2016,Neptune-like,0.23 x Jupiter,0.241 AU,41.7 days,0,BD-11 4672,Radial Velocity,,,18h33m28.84s,-11d38m09.7s,4550,0.65,0.64
63,BD+48 738 b,2910,0.91 Jupiters,9.14,2011,Gas Giant,1.24 x Jupiter,1.0 AU,392.6 days,0.2,BD-11 4672,Radial Velocity,,,18h33m28.84s,-11d38m09.7s,4550,0.65,0.64
64,BD+48 740 b,2215,1.7 Jupiters,8.699,2018,Gas Giant,1.2 x Jupiter,1.7 AU,2 years,0.76,BD-13 2130,Radial Velocity,,,07h37m09.23s,-13d54m23.9s,4545,2.12,19.17
65,BD+49 828 b,1460,1.6 Jupiters,9.38,2015,Gas Giant,1.21 x Jupiter,4.2 AU,7.1 years,0.35,BD-17 63,Radial Velocity,,,00h28m34.31s,-16d13m34.8s,4714,0.74,0.69
66,Beta Cancri b,295,7.8 Jupiters,3.53,2014,Gas Giant,1.12 x Jupiter,1.7 AU,1.7 years,0.08,bet Cnc,Radial Velocity,,,08h16m30.92s,+09d11m08.0s,4092.1,1.7,47.2
67,Beta Pictoris b,64,11 Jupiters,3.85,2008,Gas Giant,1.65 x Jupiter,9.1 AU,21 years,0.08,bet Pic,Imaging,88.9,,05h47m17.09s,-51d03m59.4s,,1.76,
68,Beta Pictoris c,64,9 Jupiters,3.85,2019,Gas Giant,1.12 x Jupiter,2.7 AU,3.3 years,0.24,bet Pic,Radial Velocity,90,,05h47m17.09s,-51d03m59.4s,,1.76,
